data; 
param n := 64; 
param c1:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 := 
43  475 881 675 381 999 836 995 699 305 827 560 346 323 551 223 379 552 673 430 230 200 612 110 814 119 979 700 462 882 141 194 201 138 820 941 549 557 671 677 736 237 511 942 192 480 238 587 206 180 518 572 902 923 978 595 65 69 17 442 881 724 318 69 378
44  513 803 585 190 502 96 262 284 455 508 659 477 826 183 712 862 573 340 404 777 892 445 249 561 443 787 341 159 522 124 201 569 869 13 954 238 510 977 672 783 86 879 842 820 643 745 3 264 726 818 579 205 926 789 779 326 758 8 273 911 827 976 994 650
45  798 552 54 840 582 148 240 71 489 627 989 159 871 751 34 932 856 805 162 413 406 457 641 148 824 999 898 638 237 870 11 375 332 755 373 498 826 633 692 929 692 828 111 708 194 532 833 350 151 263 84 276 675 420 638 753 806 438 421 316 110 46 885 365
46  316 764 958 463 488 123 377 889 73 11 114 162 385 214 433 587 770 464 837 337 699 269 785 239 530 364 610 225 531 896 495 350 30 338 739 387 226 696 751 280 295 788 439 157 895 246 662 156 84 425 432 75 961 564 412 744 44 430 51 36 529 127 380 656
47  63 926 102 209 640 794 105 535 496 733 951 981 697 196 188 129 179 605 590 431 621 434 518 382 430 415 670 138 539 172 411 942 434 983 720 312 49 445 550 738 715 513 72 524 369 776 813 503 599 844 201 573 918 423 380 410 860 969 486 230 123 848 707 196
48  962 534 621 906 524 735 244 429 585 268 174 495 446 138 17 812 345 560 16 919 820 592 412 662 908 628 631 143 932 273 806 966 891 997 520 685 159 536 880 656 260 240 214 876 0 404 751 995 121 187 604 410 933 865 266 224 107 60 609 934 922 23 84 857
49  760 245 390 714 607 474 411 273 605 651 622 626 488 456 483 505 832 867 549 23 649 628 191 360 763 576 811 210 823 541 425 264 527 929 287 578 852 157 33 496 630 839 440 648 840 969 490 679 332 398 900 551 552 579 641 686 8 882 275 717 850 806 135 366
50  939 39 428 781 240 648 421 703 172 630 706 989 801 697 404 345 416 421 872 617 70 826 128 604 118 85 702 169 674 235 117 361 155 727 513 382 759 186 204 485 829 975 97 301 519 13 1 694 76 863 796 945 381 235 333 972 63 948 714 334 634 851 286 959
51  619 370 305 902 563 164 701 950 151 824 812 551 390 693 253 391 989 633 319 883 564 28 459 33 325 392 372 366 204 690 241 120 181 892 448 460 756 347 899 270 65 261 713 976 147 949 614 936 269 559 854 174 1 634 836 592 954 257 936 386 709 465 180 41
52  468 326 549 174 414 351 689 491 568 880 710 291 198 721 570 285 464 585 281 971 33 787 782 444 875 300 877 319 291 475 73 399 511 637 499 804 869 364 342 575 658 416 400 149 223 208 429 708 802 212 898 116 864 871 707 49 453 455 140 974 125 766 78 838
53  608 784 51 650 233 120 244 710 516 627 958 848 7 658 366 907 686 189 619 653 711 526 469 457 298 334 659 378 883 545 211 708 456 42 643 694 180 121 878 857 947 421 266 290 539 399 719 378 447 457 423 600 208 487 982 491 327 985 118 358 452 838 266 56
54  516 566 473 999 970 115 52 552 59 236 311 187 346 133 529 28 334 340 60 976 64 693 70 167 74 897 963 375 899 402 982 864 639 210 827 351 732 815 384 962 198 672 815 520 89 465 338 37 765 989 996 60 960 626 576 373 246 251 664 607 688 888 463 537
55  936 594 652 158 988 876 32 181 138 371 126 247 399 692 230 971 827 72 613 924 705 917 718 798 537 429 232 284 142 248 847 647 901 423 380 593 437 115 673 784 507 144 356 263 973 839 127 151 14 721 664 193 639 191 694 106 686 767 977 265 163 402 225 915
56  784 50 6 992 975 988 740 631 481 351 768 602 909 946 330 263 234 719 969 71 289 166 538 364 784 560 522 878 197 143 810 457 208 298 414 496 982 314 898 917 708 537 411 905 304 601 318 223 49 944 364 613 269 2 230 719 838 318 69 997 448 303 354 270
57  51 527 946 950 844 244 779 470 504 302 15 116 86 730 786 294 177 64 908 239 432 900 50 324 577 268 905 382 346 159 822 971 556 948 234 45 735 491 961 312 278 440 119 451 114 632 944 445 235 477 325 512 278 950 184 514 513 112 172 254 260 102 303 789
58  714 191 272 718 643 797 203 451 222 314 467 598 511 262 58 971 739 503 709 152 604 231 580 234 252 33 874 134 467 539 187 799 877 128 743 793 651 662 921 938 245 486 641 181 261 773 244 355 349 827 474 311 410 157 57 719 50 943 142 922 366 62 579 418
59  639 934 590 878 461 316 924 169 154 599 951 461 45 295 513 379 369 194 551 92 48 77 659 411 626 997 749 235 945 852 970 138 948 404 847 514 178 941 395 432 93 505 570 302 335 979 65 494 488 346 845 319 629 125 265 149 220 340 869 984 494 347 155 520
60  488 527 711 564 334 145 118 717 225 646 926 375 733 277 834 430 787 219 925 559 675 318 438 582 902 118 89 212 574 148 402 431 294 298 865 864 166 690 967 759 668 683 335 613 563 479 277 63 976 384 984 390 24 901 542 859 132 727 677 172 233 183 872 532
61  626 785 60 117 148 459 631 346 679 377 892 925 712 503 424 526 895 738 34 925 980 953 87 544 573 325 89 667 469 117 286 21 94 451 931 36 768 684 597 867 87 717 606 150 718 926 170 577 266 448 356 577 719 227 346 802 143 579 737 627 948 13 848 619
62  27 715 81 743 552 417 385 117 980 303 792 268 114 275 815 210 680 143 204 87 940 257 205 819 333 678 995 942 967 243 406 810 93 776 401 413 350 258 23 344 639 973 704 854 20 559 866 522 852 357 750 789 773 699 269 483 760 578 469 550 675 650 881 332
63  178 676 646 168 857 322 785 556 722 684 424 788 979 58 71 826 117 220 288 130 926 936 224 311 980 519 504 766 534 960 929 913 501 618 261 227 397 469 168 71 698 641 2 216 50 357 723 15 174 399 685 447 93 923 438 620 548 769 951 865 38 440 860 264
64  990 535 457 295 948 774 125 317 533 678 842 753 152 633 196 175 84 297 75 979 606 285 819 962 324 635 175 918 676 811 812 315 903 906 534 214 420 251 548 886 622 889 338 944 650 193 743 453 519 487 817 142 337 669 923 793 36 715 322 871 149 411 166 706
; 
 end;
